 ip.proto, ip.itl, ip.ttl, ip.len, ip.id/udp/tcp.sport, udp.len/tcp.window, label,type
17,5,2,202,9630,3844,182,2
17,5,2,202,36695,3844,182,2
17,5,2,202,49129,3844,182,2
17,5,2,202,34077,3844,182,2
17,5,2,202,45097,3844,182,2
17,5,2,202,33903,3844,182,2
17,5,2,202,48664,3844,182,2
17,5,2,202,36020,5740,182,2
17,5,2,202,41762,9297,182,2
17,5,2,202,1266,5740,182,2
17,5,2,202,41632,9297,182,2
17,5,2,202,61476,5740,182,2
17,5,2,202,45040,9297,182,2
17,5,2,202,40331,5740,182,2
17,5,2,202,55912,5740,182,2
17,5,2,202,10491,5740,182,2
17,5,2,202,1939,5740,182,2
17,5,2,202,6444,5740,182,2
17,5,2,202,35294,5740,182,2
17,5,2,202,36603,5740,182,2
17,5,2,202,33489,5740,182,2
17,5,2,202,7482,5740,182,2
17,5,2,202,48757,5740,182,2
17,5,2,202,22434,5740,182,2
17,5,2,202,31353,5740,182,2
17,5,2,202,23470,5740,182,2
17,5,2,202,8897,5740,182,2
17,5,2,202,57939,5740,182,2
17,5,2,202,65338,5740,182,2
17,5,2,202,43064,5740,182,2
17,5,2,202,18523,5740,182,2
17,5,2,202,37467,5740,182,2
17,5,2,202,33242,5740,182,2
2,6,1,32,26948,0,0,2
17,5,1,149,48553,53204,129,3
17,5,1,149,49384,53204,129,3
17,5,1,149,50462,53204,129,3
17,5,64,49,54562,60002,29,3
17,5,64,49,54563,60002,29,3
17,5,64,49,54564,60002,29,3
17,5,64,49,54565,60002,29,3
17,5,64,49,54566,60002,29,3
17,5,64,49,54567,60002,29,3
17,5,64,49,54568,60002,29,3
17,5,64,49,54569,60002,29,3
17,5,64,49,54570,60002,29,3
17,5,64,49,54571,60002,29,3
17,5,1,149,51454,53204,129,3
17,5,1,149,52218,53204,129,3
17,5,1,149,52311,53204,129,3
17,5,1,149,52385,53204,129,3
17,5,1,149,53312,53204,129,3
17,5,1,149,53956,53204,129,3
17,5,1,149,54200,53204,129,3
17,5,1,149,54454,53204,129,3
17,5,1,149,54782,53204,129,3
17,5,1,149,55787,53204,129,3
17,5,1,149,56177,53204,129,3
17,5,64,49,57499,60002,29,3
17,5,64,49,57500,60002,29,3
17,5,64,49,57501,60002,29,3
17,5,64,49,57502,60002,29,3
17,5,64,49,57503,60002,29,3
17,5,64,49,57504,60002,29,3
17,5,64,49,57505,60002,29,3
17,5,64,49,57506,60002,29,3
17,5,64,49,57507,60002,29,3
17,5,64,49,57508,60002,29,3
17,5,1,149,57133,53204,129,3
17,5,1,149,57935,53204,129,3
17,5,1,149,58965,53204,129,3
17,5,1,149,59166,53204,129,3
17,5,1,149,59833,53204,129,3
17,5,1,149,60988,53204,129,3
17,5,1,149,62260,53204,129,3
17,5,1,149,63204,53204,129,3
17,5,1,149,63893,53204,129,3
17,5,1,149,64145,53204,129,3
17,5,1,149,64738,53204,129,3
17,5,1,149,65300,53204,129,3
17,5,1,149,173,53204,129,3
17,5,1,149,1145,53204,129,3
17,5,1,149,1391,53204,129,3
17,5,1,149,1537,53204,129,3
17,5,1,149,2611,53204,129,3
17,5,128,75,44609,4011,55,4
17,5,128,60,6573,61705,40,4
17,5,128,75,44610,4011,55,4
17,5,128,75,44611,4011,55,4
17,5,128,75,44612,4011,55,4
17,5,128,75,44613,4011,55,4
17,5,128,75,44614,4011,55,4
17,5,128,112,41993,54788,92,4
6,5,128,262,32995,42033,516,4
6,5,128,52,35992,42073,64240,4
6,5,128,40,35993,42073,513,4
6,5,128,223,35994,42073,513,4
6,5,128,40,35995,42073,513,4
6,5,128,40,35996,42073,508,4
6,5,128,40,35997,42073,508,4
6,5,128,52,35998,42074,64240,4
6,5,128,40,35999,42074,513,4
6,5,128,242,36000,42074,513,4
6,5,128,40,36001,42074,513,4
6,5,128,40,36002,42074,513,4
6,5,128,52,36003,42075,64240,4
6,5,128,40,36004,42075,513,4
6,5,128,333,36005,42075,513,4
6,5,128,40,36006,42075,513,4
6,5,128,40,36007,42075,513,4
6,5,128,40,36008,42075,513,4
6,5,128,52,36009,42076,64240,4
6,5,128,40,36010,42076,513,4
6,5,128,458,36011,42076,513,4
6,5,128,340,36012,42076,513,4
6,5,128,40,36013,42076,513,4
6,5,128,40,36014,42076,513,4
6,5,128,40,36015,42076,513,4
6,5,128,52,36016,42077,64240,4
6,5,128,40,36017,42077,513,4
6,5,128,264,36018,42077,513,4
6,5,128,40,36019,42077,513,4
6,5,128,40,36020,42077,513,4
6,5,128,40,36021,42077,513,4
6,5,128,40,36022,42077,513,4
6,5,128,40,36023,42077,513,4
6,5,128,52,36024,42078,64240,4
6,5,128,40,36025,42078,513,4
6,5,128,259,36026,42078,513,4
6,5,128,40,36027,42078,513,4
6,5,128,40,36028,42078,513,4
6,5,128,40,36029,42078,513,4
6,5,128,40,52049,41943,32203,4
6,5,128,40,52050,42014,32619,4
6,5,128,262,32996,42024,517,4
17,5,128,62,6574,54208,42,4
6,5,128,40,32997,42034,515,4
17,5,128,75,44615,4011,55,4
6,5,128,52,63165,42079,64240,4
6,5,128,52,36030,42080,64240,4
6,5,128,40,36031,42080,513,4
6,5,128,223,36032,42080,513,4
6,5,128,40,63166,42079,0,4
6,5,128,40,36033,42080,513,4
6,5,128,40,36034,42080,513,4
6,5,128,52,36035,42081,64240,4
6,5,128,40,36036,42081,513,4
6,5,128,242,36037,42081,513,4
6,5,128,40,36038,42081,512,4
6,5,128,40,36039,42081,513,4
6,5,128,40,36040,42081,513,4
6,5,128,52,36041,42082,64240,4
6,5,128,40,36042,42082,513,4
6,5,128,333,36043,42082,513,4
6,5,128,40,36044,42082,513,4
6,5,128,40,36045,42082,513,4
6,5,128,40,36046,42082,513,4
6,5,128,52,36047,42083,64240,4
6,5,128,40,36048,42083,513,4
6,5,128,458,36049,42083,513,4
6,5,128,340,36050,42083,513,4
6,5,128,40,36051,42083,513,4
6,5,128,40,36052,42083,513,4
6,5,128,40,36053,42083,513,4
6,5,128,52,36054,42084,64240,4
6,5,128,40,36055,42084,513,4
6,5,128,264,36056,42084,513,4
6,5,128,40,36057,42084,513,4
6,5,128,40,36058,42084,513,4
6,5,128,40,36059,42084,513,4
6,5,128,52,36060,42085,64240,4
6,5,128,40,36061,42085,513,4
6,5,128,259,36062,42085,513,4
6,5,128,40,36063,42085,513,4
6,5,128,40,36064,42085,513,4
6,5,128,40,36065,42085,513,4
6,5,128,40,36066,42085,513,4
6,5,128,40,36067,42085,513,4
6,5,128,40,6239,42025,514,4
6,5,128,52,63167,42079,64240,4
6,5,128,262,32998,42024,517,4
6,5,128,262,32999,42024,517,4
17,5,128,75,44616,4011,55,4
17,5,128,75,44617,4011,55,4
6,5,128,262,33000,42024,517,4
17,5,128,75,44618,4011,55,4
17,5,128,75,44619,4011,55,4
17,5,128,75,44620,4011,55,4
17,5,128,75,44621,4011,55,4
17,5,128,147,44622,4011,127,4
17,5,128,347,44623,4011,327,4
17,5,128,75,44624,4011,55,4
17,5,128,75,44625,4011,55,4
17,5,128,75,44626,4011,55,4
17,5,128,75,44627,4011,55,4
17,5,128,75,44628,4011,55,4
17,5,128,347,44629,4011,327,4
17,5,128,75,44630,4011,55,4
17,5,128,112,41994,54788,92,4
17,5,128,67,44631,4011,47,4
17,5,128,347,44632,4011,327,4
17,5,128,347,44633,4011,327,4
17,5,128,347,44634,4011,327,4
17,5,128,83,44635,4011,63,4
6,5,128,40,52051,41943,0,4
6,5,128,40,52052,42014,0,4
17,5,128,72,30831,54210,52,4
6,5,128,52,63168,42079,64240,4
6,5,128,262,33001,42024,517,4
17,5,128,147,44636,4011,127,4
17,5,128,75,44637,4011,55,4
17,5,128,75,44638,4011,55,4
17,5,128,75,44639,4011,55,4
17,5,128,75,44640,4011,55,4
17,5,128,75,44641,4011,55,4
17,5,128,75,44642,4011,55,4
17,5,128,75,44643,4011,55,4
17,5,128,75,44644,4011,55,4
17,5,128,75,44645,4011,55,4
17,5,128,347,44646,4011,327,4
17,5,128,107,44647,4011,87,4
17,5,128,347,44648,4011,327,4
6,5,128,262,33002,42024,517,4
17,5,128,75,44649,4011,55,4
17,5,128,75,44650,4011,55,4
17,5,128,75,44651,4011,55,4
17,5,128,75,44652,4011,55,4
17,5,128,75,44653,4011,55,4
17,5,128,75,44654,4011,55,4
17,5,128,75,44655,4011,55,4
17,5,128,75,44656,4011,55,4
17,5,128,75,44657,4011,55,4
17,5,128,75,44658,4011,55,4
17,5,128,75,44659,4011,55,4
17,5,128,75,44660,4011,55,4
17,5,128,75,44661,4011,55,4
